time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
0.4,-2.82124687120405e-16,0.0790083585618913,-8.35526823433842e-16,-6.17604221207081e-16,-1.37750528848751e-14,-4.01538956151221e-15,80,0.237788873409609,0.079008358561898,7.49376779237724e-14,-6.66133814775094e-15,0.773758553262653,-6.24923795869966e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.92995345004612e-12,5.32907051820075e-13
0.41,-2.91485812619673e-16,0.0790083585618912,-8.76219894687256e-16,-6.12251754727942e-16,-1.40720742366094e-14,-4.09764336435218e-15,80,0.237788873409609,0.079008358561898,7.48991753042509e-14,-6.80566714095221e-15,0.773758553262654,-6.24781000622769e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.92367690181793e-12,5.44453371276177e-13
0.42,-3.00857542406406e-16,0.079008358561891,-9.17732291760506e-16,-6.06796085521227e-16,-1.43643172708441e-14,-4.17874460495264e-15,80,0.237788873409609,0.079008358561898,7.48614972024755e-14,-6.97220059464598e-15,0.773758553262654,-6.24644215435093e-13,-9.7729895994835,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.91740083590032e-12,5.57776047571679e-13
0.43,-3.10238059372843e-16,0.0790083585618909,-9.60052486309512e-16,-6.01261882814688e-16,-1.46511548434152e-14,-4.25870006394917e-15,80,0.237788873409609,0.079008358561898,7.4824631484823e-14,-7.105427357601e-15,0.773758553262654,-6.24513212608711e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.91112519239757e-12,5.6843418860808e-13
0.44,-3.19625790204339e-16,0.0790083585618907,-1.00316902184618e-15,-5.95672121343573e-16,-1.49323249677019e-14,-4.33751727282011e-15,80,0.237788873409609,0.079008358561898,7.47885660999472e-14,-7.26085858104852e-15,0.773758553262654,-6.24387778164107e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.90484991378697e-12,5.80868686483882e-13
0.45,-3.290193895694e-16,0.0790083585618906,-1.04707052085413e-15,-5.90048194567704e-16,-1.52085596433959e-14,-4.41520443215292e-15,80,0.237788873409609,0.079008358561898,7.47532890852069e-14,-7.41628980449605e-15,0.773758553262654,-6.24267710778068e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.89857494476398e-12,5.93303184359684e-13
0.46,-3.38417725337672e-16,0.0790083585618904,-1.09174569112092e-15,-5.84410019526477e-16,-1.54795020289525e-14,-4.49177033705096e-15,80,0.237788873409609,0.079008358561898,7.47187885723747e-14,-7.57172102794357e-15,0.773758553262654,-6.24152820807996e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.89230023209904e-12,6.05737682235485e-13
0.47,-3.47819864750994e-16,0.0790083585618903,-1.13718333135519e-15,-5.78776133991593e-16,-1.57455682398195e-14,-4.56722430908304e-15,80,0.237788873409609,0.079008358561898,7.46850527926912e-14,-7.71605002114484e-15,0.773758553262654,-6.24042929395853e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.88602572450517e-12,6.17284001691587e-13
0.48,-3.57225061478563e-16,0.0790083585618901,-1.18337233615182e-15,-5.7316378652408e-16,-1.60068752003557e-14,-4.64157613422748e-15,80,0.237788873409609,0.079008358561898,7.46520700813199e-14,-7.84927678409986e-15,0.773758553262654,-6.2393786764527e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.87975137251545e-12,6.27942142727989e-13
0.49,-3.66632743492592e-16,0.07900835856189,-1.23030170036241e-15,-5.67589019993251e-16,-1.62621083281149e-14,-4.71483600630717e-15,80,0.237788873409609,0.079008358561898,7.46198288812571e-14,-8.00470800754738e-15,0.773758553262654,-6.23837475865825e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.87347712836965e-12,6.4037664060379e-13
0.5,-3.7604250170587e-16,0.0790083585618898,-1.27796052292402e-15,-5.62066749070275e-16,-1.65115106884928e-14,-4.78701447545383e-15,80,0.237788873409609,0.079008358561898,7.45883177467451e-14,-8.1601392309949e-15,0.773758553262654,-6.2374160287903e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.86720294590912e-12,6.52811138479592e-13
0.51,-3.85454079317152e-16,0.0790083585618896,-1.32633801019428e-15,-5.56610832167682e-16,-1.67558137182565e-14,-4.85812240117738e-15,80,0.237788873409609,0.0790083585618979,7.45575253462314e-14,-8.29336599394992e-15,0.773758553262654,-6.23650105380959e-13,-9.77298959948349,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.86092878047964e-12,6.63469279515994e-13
0.52,-3.94867361814527e-16,0.0790083585618895,-1.37542347883731e-15,-5.51234138258172e-16,-1.6994800242384e-14,-4.9281709096514e-15,80,0.237788873409609,0.0790083585618979,7.45274404649175e-14,-8.44879721739744e-15,0.773758553262653,-6.23562847356911e-13,-9.77298959948348,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.85465458884112e-12,6.75903777391795e-13
0.53,-4.04282367590789e-16,0.0790083585618893,-1.42520635830067e-15,-5.45948608971153e-16,-1.72274656999151e-14,-4.99717135485777e-15,80,0.237788873409609,0.0790083585618979,7.44980520069306e-14,-8.60422844084496e-15,0.773758553262653,-6.2347969954383e-13,-9.77298959948348,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.84838032908409e-12,6.88338275267597e-13
0.54,-4.13699239128341e-16,0.0790083585618891,-1.47567619292065e-15,-5.4076531633337e-16,-1.74549926764502e-14,-5.06513528326311e-15,80,0.237788873409609,0.0790083585618979,7.44693489971557e-14,-8.77076189453874e-15,0.773758553262653,-6.23400538936575e-13,-9.77298959948348,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.84210596055207e-12,7.01660951563099e-13
